feature,mean_importance
exper_ratio_tenure,-0.06191674741813356
tenure,-0.029008525669107645
female_ratio_exper,-0.022855123607530104
female_multiply_educ,-0.008900769326213509
female_ratio_educ,-0.004725168690380655
married_sum_educ,-0.002308766389557937
female,-0.001278322740354787
married,0.0016400731164074144
educ_ratio_female,0.0071553596141914035
female_sum_educ,0.0077677684711067955
educ,0.012665821603418536
tenure_sum_educ,0.016510764144588318
educ_diff_female,0.03510570057706001
married_diff_female,0.05165613950428229
exper,0.19440118568817447
