feature,mean_importance
47_ExtraTrees_prediction,-0.023724169325549993
34_RandomForest_prediction,-0.018592427700727533
32_RandomForest_prediction,-0.01450869846522349
35_RandomForest_prediction,-0.012616975736802627
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.007627337972958536
8_Default_NeuralNetwork_prediction,-0.005290523268626513
91_DecisionTree_prediction,-0.005113187174421862
59_NearestNeighbors_prediction,-0.00463080398140372
exper,-0.004120870362249595
76_RandomForest_prediction,-0.003224227827133652
73_LightGBM_GoldenFeatures_prediction,-0.003144766750799266
79_RandomForest_prediction,-0.0029455662488187206
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0022290260428328825
84_ExtraTrees_prediction,-0.00221432118480569
83_ExtraTrees_prediction,-0.002101361637636989
41_ExtraTrees_prediction,-0.0015064657941892712
81_ExtraTrees_prediction,-0.0006507999200105585
90_DecisionTree_prediction,-0.00047971285818360077
female_sum_educ,-0.00046283441831613815
43_ExtraTrees_prediction,-0.0002902129706879197
63_NearestNeighbors_prediction,0.0
88_NeuralNetwork_prediction,0.0
educ_ratio_female,0.0
female_multiply_educ,0.0
female_ratio_educ,0.0
53_NeuralNetwork_prediction,0.0
married_diff_female,0.0
married_sum_educ,0.0
educ_diff_female,0.0
51_NeuralNetwork_prediction,0.0
60_NearestNeighbors_prediction,0.0
3_DecisionTree_prediction,0.0
4_DecisionTree_prediction,0.0
5_Linear_prediction,0.0
89_DecisionTree_prediction,0.0
104_DecisionTree_prediction,0.0
educ,0.0
44_ExtraTrees_prediction,0.0
married,0.0
female,0.0
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.0
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
female_ratio_exper,0.0
102_ExtraTrees_prediction,0.0
52_NeuralNetwork_prediction,0.0
48_NeuralNetwork_prediction,5.228969980712872e-05
80_ExtraTrees_prediction,0.00017780867015624314
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.00020669836500157855
72_LightGBM_GoldenFeatures_prediction,0.0005547985568084224
82_NeuralNetwork_prediction,0.0017159067090942726
62_NearestNeighbors_prediction,0.0025234363513851887
58_NearestNeighbors_prediction,0.0028026437143259695
49_NeuralNetwork_prediction,0.002913912933598395
11_Default_NearestNeighbors_prediction,0.0033463964882978203
87_ExtraTrees_prediction,0.0033796023038380916
61_NearestNeighbors_prediction,0.0035183928966273205
57_NearestNeighbors_prediction,0.0037960063762760175
38_RandomForest_prediction,0.004857968984102179
105_DecisionTree_prediction,0.005698596791547339
2_DecisionTree_prediction,0.005881445536935215
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.006523768166207566
54_NeuralNetwork_prediction,0.007673442101425021
tenure,0.008437544769141691
25_LightGBM_GoldenFeatures_prediction,0.011188662075297628
exper_ratio_tenure,0.011538034328271541
77_NeuralNetwork_prediction,0.01414134674167653
tenure_sum_educ,0.014932490555378153
Ensemble_prediction,0.017820070223906682
25_LightGBM_prediction,0.018032270563630083
78_RandomForest_prediction,0.02179935476231265
85_RandomForest_prediction,0.021947710108863695
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.024352820096626027
37_RandomForest_prediction,0.025875378913145043
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.06058067956035111
101_RandomForest_prediction,0.09838523956701543
