feature,mean_importance
78_RandomForest_prediction,-0.008433251008169152
102_ExtraTrees_prediction,-0.008093087275809397
76_RandomForest_prediction,-0.006612237101564289
35_RandomForest_prediction,-0.005787526739639037
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.004733353303272602
83_ExtraTrees_prediction,-0.0035143561130703714
84_ExtraTrees_prediction,-0.003472771660883378
81_ExtraTrees_prediction,-0.003464960142758722
77_NeuralNetwork_prediction,-0.003155675467913022
48_NeuralNetwork_prediction,-0.0030916573190946537
60_NearestNeighbors_prediction,-0.0029378844783157997
47_ExtraTrees_prediction,-0.002572031455118995
88_NeuralNetwork_prediction,-0.002232847792331338
79_RandomForest_prediction,-0.0021499223830662496
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0019033110065938886
85_RandomForest_prediction,-0.0017213129724050092
63_NearestNeighbors_prediction,-0.0015399876295342895
91_DecisionTree_prediction,-0.0014714000944645589
89_DecisionTree_prediction,-0.0012246267573934988
61_NearestNeighbors_prediction,-0.0012188202462035224
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.001113431235609652
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0010388798702426038
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0006981364312720562
34_RandomForest_prediction,-0.00020511547807646746
43_ExtraTrees_prediction,-0.00011275667252719224
married,-0.00010278313151108609
2_DecisionTree_prediction,-6.565602247730063e-05
tenure,-5.277542278370184e-05
44_ExtraTrees_prediction,0.0
8_Default_NeuralNetwork_prediction,0.0
59_NearestNeighbors_prediction,0.0
exper,0.0
11_Default_NearestNeighbors_prediction,1.7602954684114992e-06
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,1.9199569625238942e-05
62_NearestNeighbors_prediction,4.20196161174724e-05
38_RandomForest_prediction,7.664083072580485e-05
educ,0.00011246601834298264
72_LightGBM_GoldenFeatures_prediction,0.00024503120232695076
82_NeuralNetwork_prediction,0.0005593729624116861
female,0.0006160421303579189
49_NeuralNetwork_prediction,0.0013065132918280709
25_LightGBM_prediction,0.0013294410735850914
3_DecisionTree_prediction,0.0016802988546213982
52_NeuralNetwork_prediction,0.001695574560474622
73_LightGBM_GoldenFeatures_prediction,0.0027565766546750136
51_NeuralNetwork_prediction,0.002811482978772606
41_ExtraTrees_prediction,0.0029084695002552065
37_RandomForest_prediction,0.0029458379728520613
58_NearestNeighbors_prediction,0.0033123015427890755
5_Linear_prediction,0.0035210206011099254
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.003695644434811918
57_NearestNeighbors_prediction,0.003946196658512502
53_NeuralNetwork_prediction,0.004673134338152973
105_DecisionTree_prediction,0.004999146580587088
32_RandomForest_prediction,0.0064940831717738455
104_DecisionTree_prediction,0.006633826779539165
87_ExtraTrees_prediction,0.006695388013392911
54_NeuralNetwork_prediction,0.007328078492198131
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.00817898572598259
25_LightGBM_GoldenFeatures_prediction,0.00866735859929928
Ensemble_prediction,0.009117239406053357
80_ExtraTrees_prediction,0.009868471935673351
4_DecisionTree_prediction,0.01151219806893924
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0119940922025212
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.012009864293024707
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.012771999221667963
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.012834432921353311
90_DecisionTree_prediction,0.013239023437966502
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.013845940628133602
101_RandomForest_prediction,0.014240525832008332
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.018728125458420907
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.035174182854951885
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.055392934263979156
