feature,mean_importance
77_NeuralNetwork_prediction,-0.01592880906572942
63_NearestNeighbors_prediction,-0.01047811071819551
48_NeuralNetwork_prediction,-0.008898178728498385
49_NeuralNetwork_prediction,-0.00816302660211492
57_NearestNeighbors_prediction,-0.005417126335015609
8_Default_NeuralNetwork_prediction,-0.005343684958569628
61_NearestNeighbors_prediction,-0.004630528261422451
2_DecisionTree_prediction,-0.004517967738949214
5_Linear_prediction,-0.0033866936057786123
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.002979049508399112
72_LightGBM_GoldenFeatures_prediction,-0.0026911231214374665
53_NeuralNetwork_prediction,-0.002534253408810083
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.002193087909098601
4_DecisionTree_prediction,-0.0019962947154533285
educ_diff_female,-0.0019465651675267814
female_ratio_educ,-0.0018343454357588219
11_Default_NearestNeighbors_prediction,-0.0017112703964054176
83_ExtraTrees_prediction,-0.0015045949861424602
89_DecisionTree_prediction,-0.0014551246524010075
exper,-0.0011861784000617658
60_NearestNeighbors_prediction,-0.0009923803167994683
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0008977800928342772
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0004500105370147223
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.00041599840681263436
35_RandomForest_prediction,-0.00033902935419414246
73_LightGBM_GoldenFeatures_prediction,-0.00029470110941669513
44_ExtraTrees_prediction,-0.00020962868109035692
married_diff_female,-0.00015733456847819572
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-5.0854463525129566e-05
3_DecisionTree_prediction,0.0
91_DecisionTree_prediction,0.0
58_NearestNeighbors_prediction,2.5527763120281045e-05
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.00024678977042671415
married_sum_educ,0.000277389140113371
62_NearestNeighbors_prediction,0.00032663369056205036
84_ExtraTrees_prediction,0.0005608948497356936
102_ExtraTrees_prediction,0.0005770126573236389
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.000612250853601104
tenure,0.0007725013836774597
105_DecisionTree_prediction,0.0009377631094242167
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0011652972532209427
82_NeuralNetwork_prediction,0.001535465039668571
43_ExtraTrees_prediction,0.0017204140524594625
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.001768763802956852
88_NeuralNetwork_prediction,0.0022576590143163822
79_RandomForest_prediction,0.002497441539483658
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.002639303999657572
87_ExtraTrees_prediction,0.0026826049008043863
59_NearestNeighbors_prediction,0.0033959492580944326
41_ExtraTrees_prediction,0.003668558233107788
52_NeuralNetwork_prediction,0.004772796853521744
90_DecisionTree_prediction,0.0048687295198849515
76_RandomForest_prediction,0.005045267145881738
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.00575582299450701
25_LightGBM_GoldenFeatures_prediction,0.006366139165401829
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.006461254085916112
51_NeuralNetwork_prediction,0.009362523086832919
38_RandomForest_prediction,0.010457249847629324
tenure_sum_educ,0.011262541227736622
104_DecisionTree_prediction,0.011946814301369634
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.012086781849839513
85_RandomForest_prediction,0.012933619390615303
32_RandomForest_prediction,0.019974130240370425
54_NeuralNetwork_prediction,0.023886395468145926
81_ExtraTrees_prediction,0.027589745017961853
78_RandomForest_prediction,0.02810792125758339
34_RandomForest_prediction,0.0357771651554325
47_ExtraTrees_prediction,0.03619574224559763
Ensemble_prediction,0.036455571220415386
25_LightGBM_prediction,0.055336969017935146
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.056033961583127526
80_ExtraTrees_prediction,0.06618018124104715
37_RandomForest_prediction,0.06802579619408348
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.10053827665429915
101_RandomForest_prediction,0.12190301984337155
