feature,mean_importance
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.025057605422333394
60_NearestNeighbors_prediction,-0.018866468429854
48_NeuralNetwork_prediction,-0.01392960173249853
11_Default_NearestNeighbors_prediction,-0.013656105044866274
8_Default_NeuralNetwork_prediction,-0.008198723780240691
61_NearestNeighbors_prediction,-0.006701895853083717
32_RandomForest_prediction,-0.005773773968101903
81_ExtraTrees_prediction,-0.005709748927853675
44_ExtraTrees_prediction,-0.005660370199225717
53_NeuralNetwork_prediction,-0.005604584626391684
tenure,-0.005582180179465657
89_DecisionTree_prediction,-0.003537305395972501
73_LightGBM_GoldenFeatures_prediction,-0.003048500939292853
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0020981557607409494
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0009860855683990755
51_NeuralNetwork_prediction,-2.2204460492503132e-17
91_DecisionTree_prediction,-2.2204460492503132e-17
104_DecisionTree_prediction,-2.2204460492503132e-17
2_DecisionTree_prediction,0.0
5_Linear_prediction,0.0
3_DecisionTree_prediction,0.0
83_ExtraTrees_prediction,0.0
35_RandomForest_prediction,0.0
58_NearestNeighbors_prediction,0.0
4_DecisionTree_prediction,0.0
43_ExtraTrees_prediction,0.0
62_NearestNeighbors_prediction,0.0
82_NeuralNetwork_prediction,0.0
educ,0.0
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
72_LightGBM_GoldenFeatures_prediction,0.0
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
married,0.0
female,0.0
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
57_NearestNeighbors_prediction,0.0004543467446178395
84_ExtraTrees_prediction,0.0006038600419037366
52_NeuralNetwork_prediction,0.0008613950905177025
59_NearestNeighbors_prediction,0.0013497737462282889
exper,0.0013536723848070142
90_DecisionTree_prediction,0.002249381863525568
25_LightGBM_GoldenFeatures_prediction,0.002497203490300981
102_ExtraTrees_prediction,0.0027023758960081244
63_NearestNeighbors_prediction,0.004075421437953386
88_NeuralNetwork_prediction,0.004427290502433445
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005791046066622352
49_NeuralNetwork_prediction,0.006414516533725223
85_RandomForest_prediction,0.007578334887955562
54_NeuralNetwork_prediction,0.007947260061568895
79_RandomForest_prediction,0.008306354616786726
38_RandomForest_prediction,0.009985155807646539
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.010456087661180068
78_RandomForest_prediction,0.010652985729111154
77_NeuralNetwork_prediction,0.011277634720724428
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.012309884550079132
47_ExtraTrees_prediction,0.012903779037828267
105_DecisionTree_prediction,0.014884575471692196
76_RandomForest_prediction,0.01615026727098203
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.020614546284579795
87_ExtraTrees_prediction,0.024570125455113122
34_RandomForest_prediction,0.026573018568354544
25_LightGBM_prediction,0.03385815409421857
Ensemble_prediction,0.043188776534232184
41_ExtraTrees_prediction,0.04577718103913155
80_ExtraTrees_prediction,0.046536091851120086
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.04866650024982746
37_RandomForest_prediction,0.05152083598176216
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.08508476389993107
101_RandomForest_prediction,0.22818941248363717
