feature,mean_importance
82_NeuralNetwork_prediction,-0.03677246750403192
8_Default_NeuralNetwork_prediction,-0.03466335229212718
5_Linear_prediction,-0.03132627035653477
48_NeuralNetwork_prediction,-0.026038346024093762
58_NearestNeighbors_prediction,-0.024921781839738123
60_NearestNeighbors_prediction,-0.023631917382674783
49_NeuralNetwork_prediction,-0.022622033101808235
57_NearestNeighbors_prediction,-0.0195788937089852
61_NearestNeighbors_prediction,-0.01894962383452612
62_NearestNeighbors_prediction,-0.017266752834815425
77_NeuralNetwork_prediction,-0.016348229595493424
85_RandomForest_prediction,-0.013173170165247638
35_RandomForest_prediction,-0.01289061912183267
51_NeuralNetwork_prediction,-0.0113089303440306
54_NeuralNetwork_prediction,-0.011183808906666527
83_ExtraTrees_prediction,-0.01077829309671401
105_DecisionTree_prediction,-0.010586320390957837
88_NeuralNetwork_prediction,-0.010009624601749322
104_DecisionTree_prediction,-0.0096121665213168
59_NearestNeighbors_prediction,-0.008764815906381762
84_ExtraTrees_prediction,-0.0068048751008062515
87_ExtraTrees_prediction,-0.005244146107378067
37_RandomForest_prediction,-0.004183387934883686
79_RandomForest_prediction,-0.0033980125804209615
81_ExtraTrees_prediction,-0.003396740489070127
41_ExtraTrees_prediction,-0.002717430658257003
married,-0.0024423292742397295
91_DecisionTree_prediction,-0.0022339855640492344
90_DecisionTree_prediction,-0.00220566365374808
3_DecisionTree_prediction,-0.0019073970528463713
73_LightGBM_GoldenFeatures_prediction,-0.0016839275408849109
63_NearestNeighbors_prediction,-0.00042398089354416245
2_DecisionTree_prediction,7.63827947121376e-05
4_DecisionTree_prediction,0.0008191981553730798
43_ExtraTrees_prediction,0.0016640847600247755
89_DecisionTree_prediction,0.0017390790435148017
72_LightGBM_GoldenFeatures_prediction,0.0025789829824564236
44_ExtraTrees_prediction,0.005255269698028186
53_NeuralNetwork_prediction,0.005434313404295943
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005574271723774937
32_RandomForest_prediction,0.006545169474177315
78_RandomForest_prediction,0.006740328308651833
47_ExtraTrees_prediction,0.00716278403357522
34_RandomForest_prediction,0.007173385519867059
exper,0.008923775313059833
25_LightGBM_prediction,0.009711589645584629
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.010613875349736368
102_ExtraTrees_prediction,0.013211323162778154
52_NeuralNetwork_prediction,0.014109911141094677
25_LightGBM_GoldenFeatures_prediction,0.014645553125608269
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.01508976362398986
11_Default_NearestNeighbors_prediction,0.018916858424023842
38_RandomForest_prediction,0.01983906993836344
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.020169516197013904
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.020599548193447826
101_RandomForest_prediction,0.022023781172702428
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.02379791669545315
76_RandomForest_prediction,0.024347305971737686
80_ExtraTrees_prediction,0.028678417600891026
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.02888109381879824
Ensemble_prediction,0.029657388557226882
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.03207765789624286
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.03334424214238503
female,0.036833584065703674
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.03725284207704356
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.04127534594456237
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.04432042991485261
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0467966827548018
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.047373129353733744
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.055874079168067456
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.06688820145267971
tenure,0.12072036688426487
educ,0.2848091797642052
