feature,mean_importance
married,-0.058774242021039355
53_NeuralNetwork_prediction,-0.01563146754797442
8_Default_NeuralNetwork_prediction,-0.009616976013932188
exper,-0.008751276055364765
72_LightGBM_GoldenFeatures_prediction,-0.008312458693438463
59_NearestNeighbors_prediction,-0.006489513664720481
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.006362127996133648
63_NearestNeighbors_prediction,-0.006228433044074033
49_NeuralNetwork_prediction,-0.006091577334439391
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.006029328588353544
female,-0.005789894564799414
61_NearestNeighbors_prediction,-0.005779090695117173
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.005745858082548993
48_NeuralNetwork_prediction,-0.005039168836588304
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0047013089887877335
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.004398713005474808
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.004269889827523743
77_NeuralNetwork_prediction,-0.003966635825216125
73_LightGBM_GoldenFeatures_prediction,-0.0031607159193698608
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0031251107482000327
51_NeuralNetwork_prediction,-0.0029191965438171152
34_RandomForest_prediction,-0.0028132281759144285
76_RandomForest_prediction,-0.0021896160136693375
85_RandomForest_prediction,-0.00214702267007294
25_LightGBM_GoldenFeatures_prediction,-0.0018846853925304607
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0017794978355530455
Ensemble_prediction,-0.0014390093448120034
52_NeuralNetwork_prediction,-0.0014300990731288099
32_RandomForest_prediction,-0.0011490029647304167
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0011242152859498589
35_RandomForest_prediction,-0.001088221683499313
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0010473190389977739
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0010066941414599074
80_ExtraTrees_prediction,-0.0009449285777330507
41_ExtraTrees_prediction,-0.0008977559993270212
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0008920681162104538
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0007137068955106018
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0005639484697354868
90_DecisionTree_prediction,-0.00037917310149275795
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,-0.00030019129577718573
88_NeuralNetwork_prediction,-0.0002701486394582897
2_DecisionTree_prediction,-0.00022003826623133714
60_NearestNeighbors_prediction,-0.00010756201616142213
101_RandomForest_prediction,0.0002533353080634848
54_NeuralNetwork_prediction,0.0005830589390453334
3_DecisionTree_prediction,0.0008091214932714142
82_NeuralNetwork_prediction,0.0009162404782866007
79_RandomForest_prediction,0.0009222266028891645
91_DecisionTree_prediction,0.0013039662367518635
47_ExtraTrees_prediction,0.0013173093787532063
102_ExtraTrees_prediction,0.0014789439822360472
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0016938391380045604
38_RandomForest_prediction,0.0017931145381415048
58_NearestNeighbors_prediction,0.0020299927976110688
78_RandomForest_prediction,0.002158671498804554
25_LightGBM_prediction,0.0030370496262107196
81_ExtraTrees_prediction,0.0035510191269838565
11_Default_NearestNeighbors_prediction,0.003965518183878402
4_DecisionTree_prediction,0.004020377759937244
37_RandomForest_prediction,0.005267003431093697
83_ExtraTrees_prediction,0.005805279051225853
43_ExtraTrees_prediction,0.006668666137357571
89_DecisionTree_prediction,0.006922490071035514
84_ExtraTrees_prediction,0.009115121500932678
87_ExtraTrees_prediction,0.010059142665157682
62_NearestNeighbors_prediction,0.013648148104095092
44_ExtraTrees_prediction,0.015438944320436887
104_DecisionTree_prediction,0.015852928506385155
105_DecisionTree_prediction,0.01977509156853694
57_NearestNeighbors_prediction,0.02213884511398776
5_Linear_prediction,0.025589941929123162
tenure,0.0314592913258551
educ,0.15723097768988856
