feature,mean_importance
61_NearestNeighbors_prediction,-0.015235971661237269
63_NearestNeighbors_prediction,-0.009354389200834956
48_NeuralNetwork_prediction,-0.007892027341391628
77_NeuralNetwork_prediction,-0.006477290969839467
88_NeuralNetwork_prediction,-0.0034734519581295143
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,-0.0033752175044533097
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.002645746667227322
59_NearestNeighbors_prediction,-0.002603292615069419
3_DecisionTree_prediction,-0.0021086713949671765
tenure,-0.0021024573590175955
44_ExtraTrees_prediction,-0.0017409561330886004
49_NeuralNetwork_prediction,-0.0016289967113523262
89_DecisionTree_prediction,-0.0015464545965418574
married_sum_educ,-0.0012562135792893337
58_NearestNeighbors_prediction,-0.001244810255321771
53_NeuralNetwork_prediction,-0.0011571773070277792
2_DecisionTree_prediction,-0.001000175695567229
43_ExtraTrees_prediction,-0.000703474110646396
educ_diff_female,-0.00022334503755629953
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.00012517177276669678
11_Default_NearestNeighbors_prediction,-0.00011642972881948932
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-7.201722239869035e-06
female_ratio_educ,0.0
73_LightGBM_GoldenFeatures_prediction,0.0
83_ExtraTrees_prediction,0.0
25_LightGBM_GoldenFeatures_prediction,0.0
married_diff_female,0.0
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
91_DecisionTree_prediction,0.0
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.00021891053385372227
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.00045605799675794143
4_DecisionTree_prediction,0.0005039572450840745
79_RandomForest_prediction,0.0006137401093593064
60_NearestNeighbors_prediction,0.0008542632731558975
41_ExtraTrees_prediction,0.0009291948535454564
72_LightGBM_GoldenFeatures_prediction,0.001217968122750146
82_NeuralNetwork_prediction,0.0012548034365387872
84_ExtraTrees_prediction,0.0014454246046470055
51_NeuralNetwork_prediction,0.001715291033923827
90_DecisionTree_prediction,0.0020579107662915598
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.002058638781444788
exper,0.0022269284885945593
76_RandomForest_prediction,0.0022529391468524063
tenure_sum_educ,0.0024045817376409538
102_ExtraTrees_prediction,0.0026691978452712873
85_RandomForest_prediction,0.0027274976283098384
52_NeuralNetwork_prediction,0.0028437736961536507
5_Linear_prediction,0.0032423630134596148
87_ExtraTrees_prediction,0.0034272037632737894
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003611766865878052
62_NearestNeighbors_prediction,0.004349289631060893
8_Default_NeuralNetwork_prediction,0.004351528228459456
105_DecisionTree_prediction,0.004470096915039723
57_NearestNeighbors_prediction,0.004994038942100309
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005337022348433651
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005467020295087122
104_DecisionTree_prediction,0.005627108732179776
81_ExtraTrees_prediction,0.006079408998063962
54_NeuralNetwork_prediction,0.0064789745819866075
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.006793562117309304
35_RandomForest_prediction,0.007655496700439501
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.010940556020102887
38_RandomForest_prediction,0.013718708083040921
32_RandomForest_prediction,0.014516324633200716
80_ExtraTrees_prediction,0.017436437841336083
25_LightGBM_prediction,0.01969443431064575
Ensemble_prediction,0.031831698011356255
34_RandomForest_prediction,0.033533431520885684
78_RandomForest_prediction,0.04271568991769896
37_RandomForest_prediction,0.0434305390646325
47_ExtraTrees_prediction,0.04355888952510319
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.07582385250723558
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.08773658291621275
101_RandomForest_prediction,0.09156631983028418
