feature,mean_importance
female,-0.0004401732423588656
female_ratio_exper,-0.00038124179493068675
female_sum_educ,0.0004426964048233062
female_multiply_educ,0.0005033700526067941
married,0.0005451809245025141
educ_ratio_female,0.0007350234563926694
exper_ratio_tenure,0.0012389693953180736
female_ratio_educ,0.007267665336326373
married_sum_educ,0.00941485816503836
married_diff_female,0.020030974209413577
tenure,0.03031677198980141
educ,0.03546965611035841
exper,0.062221518979662216
tenure_sum_educ,0.1081244129856677
educ_diff_female,0.15158396671393204
