feature,mean_importance
5_Linear_prediction,-0.021502175152699043
62_NearestNeighbors_prediction,-0.01666482072633404
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.01287690756720431
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.009114879602102477
11_Default_NearestNeighbors_prediction,-0.007897590729221615
exper,-0.006670326317556596
41_ExtraTrees_prediction,-0.006630856497326842
32_RandomForest_prediction,-0.006125330419607888
48_NeuralNetwork_prediction,-0.004799236326269596
83_ExtraTrees_prediction,-0.0038445691794867453
2_DecisionTree_prediction,-0.0037182724753965445
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,-0.0034737338407658915
59_NearestNeighbors_prediction,-0.001304734464852353
88_NeuralNetwork_prediction,-0.001140298216459501
52_NeuralNetwork_prediction,-0.0009073060504281472
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0007030079968989966
58_NearestNeighbors_prediction,-0.0002998515935094259
34_RandomForest_prediction,-0.0001273757201582515
35_RandomForest_prediction,-9.222895150307053e-05
72_LightGBM_GoldenFeatures_prediction,0.0
79_RandomForest_prediction,0.0
91_DecisionTree_prediction,0.0
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
104_DecisionTree_prediction,0.0
tenure,0.0
female,0.0
married,0.0
77_NeuralNetwork_prediction,0.00022656968092384932
38_RandomForest_prediction,0.00023464863456803541
102_ExtraTrees_prediction,0.00028672893770032015
37_RandomForest_prediction,0.0009286801847594895
educ,0.001121971715849468
8_Default_NeuralNetwork_prediction,0.0011896881000386216
85_RandomForest_prediction,0.0013379025444709924
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0013573350353580538
49_NeuralNetwork_prediction,0.0016166795211674744
43_ExtraTrees_prediction,0.0017587738602842574
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0020939086736064816
63_NearestNeighbors_prediction,0.002383936717856583
89_DecisionTree_prediction,0.0024311950665744765
78_RandomForest_prediction,0.0027241120954422547
60_NearestNeighbors_prediction,0.0028485664230897267
4_DecisionTree_prediction,0.0033500267809447705
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003877422403210029
53_NeuralNetwork_prediction,0.004288437525323052
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.006088257215959214
73_LightGBM_GoldenFeatures_prediction,0.006091214119709554
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.006954232552768303
25_LightGBM_GoldenFeatures_prediction,0.009493145917084288
81_ExtraTrees_prediction,0.009558260752515845
3_DecisionTree_prediction,0.009634361270722636
90_DecisionTree_prediction,0.010324801583366294
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.011152268191680848
25_LightGBM_prediction,0.012335637510129149
84_ExtraTrees_prediction,0.013086528850247626
47_ExtraTrees_prediction,0.013159017097704761
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.014813426652035156
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.015009577938913842
61_NearestNeighbors_prediction,0.015111238876165944
87_ExtraTrees_prediction,0.016189205085776804
51_NeuralNetwork_prediction,0.016697062541021566
44_ExtraTrees_prediction,0.01832481020152239
82_NeuralNetwork_prediction,0.018948558951858763
105_DecisionTree_prediction,0.01950297244043663
54_NeuralNetwork_prediction,0.020799848114384623
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.022248804777051812
80_ExtraTrees_prediction,0.025373435663222532
76_RandomForest_prediction,0.026196216211709
Ensemble_prediction,0.03275844016714191
57_NearestNeighbors_prediction,0.044063857690842236
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.04990486763099039
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.08637788117818661
101_RandomForest_prediction,0.18408289955628238
