feature,mean_importance
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.017997933112784102
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.014716229363267441
79_RandomForest_prediction,-0.011868869260839021
78_RandomForest_prediction,-0.00940333488888373
104_DecisionTree_prediction,-0.006757187094074657
73_LightGBM_GoldenFeatures_prediction,-0.006348669447490418
102_ExtraTrees_prediction,-0.00590817039350362
37_RandomForest_prediction,-0.00554444320296722
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.00547400876035109
90_DecisionTree_prediction,-0.004922125494894935
tenure,-0.004876298048595395
38_RandomForest_prediction,-0.0038119950334015718
63_NearestNeighbors_prediction,-0.002850309267232931
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.002240016789082977
105_DecisionTree_prediction,-0.002237149103910918
25_LightGBM_GoldenFeatures_prediction,-0.0018956226345619664
54_NeuralNetwork_prediction,-0.0017418715363523908
87_ExtraTrees_prediction,-0.0017294903887950075
91_DecisionTree_prediction,-0.001614048196278617
11_Default_NearestNeighbors_prediction,-0.0014766325660287905
62_NearestNeighbors_prediction,-0.001172129253940557
83_ExtraTrees_prediction,-0.0010596866805905104
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0010167620423783385
41_ExtraTrees_prediction,-0.0004626076936336543
82_NeuralNetwork_prediction,-0.000449186743259411
57_NearestNeighbors_prediction,-0.0003860406006307215
43_ExtraTrees_prediction,-0.00034584409843821937
2_DecisionTree_prediction,-0.00023123269208287224
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-6.228864500323894e-05
married,0.0
88_NeuralNetwork_prediction,0.0
52_NeuralNetwork_prediction,0.0
60_NearestNeighbors_prediction,0.0
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,8.491455628532041e-05
77_NeuralNetwork_prediction,0.0002572386432376339
8_Default_NeuralNetwork_prediction,0.0006405064003080052
51_NeuralNetwork_prediction,0.0006743440575362025
53_NeuralNetwork_prediction,0.0007207792332077356
58_NearestNeighbors_prediction,0.0009077615794309768
34_RandomForest_prediction,0.0010112068424915743
59_NearestNeighbors_prediction,0.0011024720183196446
exper,0.0011219294137995827
61_NearestNeighbors_prediction,0.001192186362497616
35_RandomForest_prediction,0.0011971259312641425
72_LightGBM_GoldenFeatures_prediction,0.0012927528655191423
80_ExtraTrees_prediction,0.001299152701307571
85_RandomForest_prediction,0.0013332581539819532
44_ExtraTrees_prediction,0.0015980389157131182
4_DecisionTree_prediction,0.0016087257466556927
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0016090557938789884
47_ExtraTrees_prediction,0.001832327537519629
89_DecisionTree_prediction,0.0019855771969657264
76_RandomForest_prediction,0.0020551111109122556
3_DecisionTree_prediction,0.002383156391390229
educ,0.003176424914664566
32_RandomForest_prediction,0.0035718957440934672
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003952788712609423
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.0039595247632222
84_ExtraTrees_prediction,0.0044317114051212305
5_Linear_prediction,0.00467921287595825
female,0.00552210217294632
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.007423352184054455
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.007723338515800371
48_NeuralNetwork_prediction,0.009496409337979827
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.010207911536460501
81_ExtraTrees_prediction,0.010468679862585473
101_RandomForest_prediction,0.011766071218993156
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.012269539715835175
25_LightGBM_prediction,0.013404100075702873
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.01594569831092907
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.018640143159383782
Ensemble_prediction,0.019272967985980716
49_NeuralNetwork_prediction,0.020148919073750337
