feature,mean_importance
81_ExtraTrees_prediction,-0.0774767252703786
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.05131087113046562
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.04083168455218291
38_RandomForest_prediction,-0.02756762445211599
48_NeuralNetwork_prediction,-0.024777746007303113
87_ExtraTrees_prediction,-0.022627279600170934
85_RandomForest_prediction,-0.02035756493623081
63_NearestNeighbors_prediction,-0.020132128977107432
80_ExtraTrees_prediction,-0.015157698971653099
exper,-0.01346884213175512
25_LightGBM_prediction,-0.010817906893990935
101_RandomForest_prediction,-0.010583365712859205
37_RandomForest_prediction,-0.010234761793642733
51_NeuralNetwork_prediction,-0.009651729901534211
102_ExtraTrees_prediction,-0.007816641279183922
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.007548483566621389
105_DecisionTree_prediction,-0.00699336667580871
44_ExtraTrees_prediction,-0.005657659722346798
104_DecisionTree_prediction,-0.004858549826045733
41_ExtraTrees_prediction,-0.004299145725537678
female_sum_educ,-0.004046910745459709
8_Default_NeuralNetwork_prediction,-0.0029354794724767096
60_NearestNeighbors_prediction,-0.0026491328862366494
5_Linear_prediction,-0.0022330127459492142
84_ExtraTrees_prediction,-0.0015543811910626482
educ_diff_female,-0.0015468291304196913
58_NearestNeighbors_prediction,-0.001141041077430105
89_DecisionTree_prediction,-0.001118546781721963
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0007009478608370867
educ,-0.000685495633633737
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0004373680479138442
4_DecisionTree_prediction,-0.00040052362893994164
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.00022947375487530897
25_LightGBM_GoldenFeatures_prediction,-9.476381293624936e-05
married_diff_female,0.0
married,0.0
married_sum_educ,0.0
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
female_ratio_educ,0.0
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
educ_ratio_female,0.0
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
72_LightGBM_GoldenFeatures_prediction,0.0
73_LightGBM_GoldenFeatures_prediction,0.0
female_multiply_educ,0.0
female,0.0
82_NeuralNetwork_prediction,0.0006780193559979275
exper_ratio_tenure,0.0007181510976492333
35_RandomForest_prediction,0.0009194042786773049
76_RandomForest_prediction,0.0011393485590927455
83_ExtraTrees_prediction,0.0013650978777146826
90_DecisionTree_prediction,0.001398632386512011
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.001752795192561296
43_ExtraTrees_prediction,0.0019202937122884567
62_NearestNeighbors_prediction,0.002323653268746728
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.002465436169578672
52_NeuralNetwork_prediction,0.0035543925340772776
female_ratio_exper,0.0043835393756143206
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0043896225620733585
3_DecisionTree_prediction,0.004540316465616057
54_NeuralNetwork_prediction,0.004772248147976466
tenure_sum_educ,0.005201745502764266
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005590752548107913
tenure,0.005680036430282176
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0064293514273125576
79_RandomForest_prediction,0.006895038367200701
53_NeuralNetwork_prediction,0.009097089276490878
88_NeuralNetwork_prediction,0.010314356839823147
2_DecisionTree_prediction,0.011429910407739552
91_DecisionTree_prediction,0.01152703051230095
32_RandomForest_prediction,0.013385582657753803
Ensemble_prediction,0.013469241349714101
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.013690813435577676
77_NeuralNetwork_prediction,0.014330499114987317
34_RandomForest_prediction,0.014464464698860157
78_RandomForest_prediction,0.015254448615689475
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.015646725223853408
61_NearestNeighbors_prediction,0.015995970253697134
11_Default_NearestNeighbors_prediction,0.01924593910957274
57_NearestNeighbors_prediction,0.021311946582203957
59_NearestNeighbors_prediction,0.028567948347685133
47_ExtraTrees_prediction,0.040280082956421236
49_NeuralNetwork_prediction,0.04219296619815336
