feature,mean_importance
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.020957490275205548
52_NeuralNetwork_prediction,-0.01871156005366794
51_NeuralNetwork_prediction,-0.01760688280340399
105_DecisionTree_prediction,-0.016247114978871813
53_NeuralNetwork_prediction,-0.015585325414727591
89_DecisionTree_prediction,-0.013442389122693067
88_NeuralNetwork_prediction,-0.01284491313525311
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.011511626582244094
25_LightGBM_GoldenFeatures_prediction,-0.011233889847287171
25_LightGBM_prediction,-0.011212278869568548
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.010998204351994435
54_NeuralNetwork_prediction,-0.010812748894405732
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0100091637057939
76_RandomForest_prediction,-0.009939057160586606
Ensemble_prediction,-0.008705861706076035
educ,-0.008517378068049752
82_NeuralNetwork_prediction,-0.008017918256964162
78_RandomForest_prediction,-0.007940840160744034
80_ExtraTrees_prediction,-0.005653151998725093
female,-0.004348315751112252
married,-0.004329769868666
58_NearestNeighbors_prediction,-0.004185351976685081
61_NearestNeighbors_prediction,-0.0033120156315579407
59_NearestNeighbors_prediction,-0.0032357121220238485
57_NearestNeighbors_prediction,-0.002143993883922124
tenure,-0.001394597120526786
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0012746657372258996
exper,-0.0011459283243660857
87_ExtraTrees_prediction,-0.0008357250730251176
83_ExtraTrees_prediction,-0.0005876672177518527
3_DecisionTree_prediction,0.000473735570024858
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0006067952088310236
44_ExtraTrees_prediction,0.0006749983485970556
60_NearestNeighbors_prediction,0.0009764613910351105
77_NeuralNetwork_prediction,0.0013477003812401688
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0017397123089643474
43_ExtraTrees_prediction,0.0018119189181018624
101_RandomForest_prediction,0.0025410894385721637
35_RandomForest_prediction,0.0035664342014744667
11_Default_NearestNeighbors_prediction,0.0036179484043795673
63_NearestNeighbors_prediction,0.004348690519420795
104_DecisionTree_prediction,0.004596590235683507
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0073273917585435335
81_ExtraTrees_prediction,0.007903815655082913
84_ExtraTrees_prediction,0.00835703744123606
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.008564285679382189
73_LightGBM_GoldenFeatures_prediction,0.009141798434271963
62_NearestNeighbors_prediction,0.00970893385731848
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.010403732168525349
2_DecisionTree_prediction,0.010509560005077833
72_LightGBM_GoldenFeatures_prediction,0.011294686657187181
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.011968075479581564
41_ExtraTrees_prediction,0.012551274239593036
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.014592548272976357
48_NeuralNetwork_prediction,0.014942396348432729
102_ExtraTrees_prediction,0.015136515008090568
34_RandomForest_prediction,0.01551232122464814
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.015796894069389444
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.017281501156920887
47_ExtraTrees_prediction,0.017290825182500403
91_DecisionTree_prediction,0.01796508654606057
38_RandomForest_prediction,0.018417170139142413
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.01912160926515567
90_DecisionTree_prediction,0.019972067345676248
8_Default_NeuralNetwork_prediction,0.020936919091669504
85_RandomForest_prediction,0.021227320172744292
5_Linear_prediction,0.02167423181437622
4_DecisionTree_prediction,0.021821871322680476
37_RandomForest_prediction,0.022031005094529776
79_RandomForest_prediction,0.02346090664908824
32_RandomForest_prediction,0.025069230022123024
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.030179160526518034
49_NeuralNetwork_prediction,0.031173152579297182
