feature,mean_importance
48_NeuralNetwork_prediction,-0.01484355613684285
tenure_sum_educ,-0.011299698815539837
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.009546170760501071
54_NeuralNetwork_prediction,-0.009309435343217088
90_DecisionTree_prediction,-0.006782492838718179
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,-0.00673143410690602
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.005876512670216305
63_NearestNeighbors_prediction,-0.005777568864445382
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0054060482599212365
72_LightGBM_GoldenFeatures_prediction,-0.005353560857331419
62_NearestNeighbors_prediction,-0.004213920176730635
84_ExtraTrees_prediction,-0.003910389212250409
married_diff_female,-0.0035646845039306817
44_ExtraTrees_prediction,-0.0027857205238257855
88_NeuralNetwork_prediction,-0.0021154217085619154
38_RandomForest_prediction,-0.0017258610397410724
4_DecisionTree_prediction,-0.0016845933323402895
exper,-0.0014224637858425092
79_RandomForest_prediction,-0.001218298172013199
41_ExtraTrees_prediction,-0.001200996932230125
73_LightGBM_GoldenFeatures_prediction,-0.0009891824802000238
82_NeuralNetwork_prediction,-0.0008372991465731006
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.00012267597550177367
35_RandomForest_prediction,-8.811902152829897e-05
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
58_NearestNeighbors_prediction,0.0
3_DecisionTree_prediction,0.0
91_DecisionTree_prediction,0.0
60_NearestNeighbors_prediction,0.0
25_LightGBM_GoldenFeatures_prediction,0.0
female_ratio_educ,0.0
89_DecisionTree_prediction,1.5406885277646777e-05
87_ExtraTrees_prediction,0.00014648298392841986
8_Default_NeuralNetwork_prediction,0.0004140947901181247
married_sum_educ,0.00048150535994612165
102_ExtraTrees_prediction,0.0005738042216220429
57_NearestNeighbors_prediction,0.0006923393755766561
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0009515176522707502
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0009742896848823901
tenure,0.0012833264832929237
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0013367796170034919
educ_diff_female,0.0015513945896487359
49_NeuralNetwork_prediction,0.0016805263793711611
76_RandomForest_prediction,0.0017730664075954917
105_DecisionTree_prediction,0.001969211754647371
5_Linear_prediction,0.002078229143435373
51_NeuralNetwork_prediction,0.0021919166624197904
59_NearestNeighbors_prediction,0.002230010248755443
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0022693604023871885
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.002342517543205269
104_DecisionTree_prediction,0.0025525840212988647
83_ExtraTrees_prediction,0.0026156032708073316
52_NeuralNetwork_prediction,0.004422446541951374
25_LightGBM_prediction,0.005045995511648404
43_ExtraTrees_prediction,0.005156776640813765
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005200210433015884
32_RandomForest_prediction,0.005331844303441857
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0053814940269661495
2_DecisionTree_prediction,0.005416149570563455
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.005815726198653326
53_NeuralNetwork_prediction,0.006291200967566546
77_NeuralNetwork_prediction,0.006360459225171445
81_ExtraTrees_prediction,0.007215680456027451
47_ExtraTrees_prediction,0.007299031502213815
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.007881086115260427
85_RandomForest_prediction,0.008585385407535007
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.008683246358909168
Ensemble_prediction,0.011110539805239494
61_NearestNeighbors_prediction,0.013255289087647348
11_Default_NearestNeighbors_prediction,0.015028203494672543
37_RandomForest_prediction,0.018466029729499456
34_RandomForest_prediction,0.020116173114801173
78_RandomForest_prediction,0.021617414938734546
80_ExtraTrees_prediction,0.021873468510055262
101_RandomForest_prediction,0.054407680709484284
