feature,mean_importance
63_NearestNeighbors_prediction,-0.021817570144061847
101_RandomForest_prediction,-0.017422727813714012
47_ExtraTrees_prediction,-0.01613452634583128
52_NeuralNetwork_prediction,-0.006721671332880508
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.006452464546689729
54_NeuralNetwork_prediction,-0.004472664963446116
44_ExtraTrees_prediction,-0.002537679547335525
38_RandomForest_prediction,-0.001841408999633698
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.001755505841677807
35_RandomForest_prediction,-0.001537998574292665
37_RandomForest_prediction,-0.0015248284004615088
79_RandomForest_prediction,-0.0010472313534964917
82_NeuralNetwork_prediction,-0.0009449067114947418
78_RandomForest_prediction,-0.0009036417277630271
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0006671408144918401
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0003102163944734615
59_NearestNeighbors_prediction,-0.00012975191579356338
female_ratio_educ,0.0
84_ExtraTrees_prediction,0.0
83_ExtraTrees_prediction,0.0
81_ExtraTrees_prediction,0.0
58_NearestNeighbors_prediction,0.0
60_NearestNeighbors_prediction,0.0
77_NeuralNetwork_prediction,0.0
104_DecisionTree_prediction,0.0
2_DecisionTree_prediction,0.0
4_DecisionTree_prediction,0.0
3_DecisionTree_prediction,0.0
91_DecisionTree_prediction,0.0
educ_diff_female,0.0
married_sum_educ,0.0
married_diff_female,0.0
57_NearestNeighbors_prediction,0.0
41_ExtraTrees_prediction,0.0
tenure_sum_educ,0.0
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
49_NeuralNetwork_prediction,0.0
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
72_LightGBM_GoldenFeatures_prediction,0.0
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.0
25_LightGBM_GoldenFeatures_prediction,0.0
102_ExtraTrees_prediction,0.0
73_LightGBM_GoldenFeatures_prediction,0.0
85_RandomForest_prediction,0.0
25_LightGBM_prediction,0.0
76_RandomForest_prediction,0.0
Ensemble_prediction,0.0
80_ExtraTrees_prediction,0.0
11_Default_NearestNeighbors_prediction,8.698588363083015e-05
51_NeuralNetwork_prediction,0.00015427392062916656
8_Default_NeuralNetwork_prediction,0.00025062426099558
62_NearestNeighbors_prediction,0.0006175609241317436
48_NeuralNetwork_prediction,0.0007224215340296825
53_NeuralNetwork_prediction,0.0008000402918901583
tenure,0.0009077547829664301
105_DecisionTree_prediction,0.0010006776139776853
32_RandomForest_prediction,0.0011618829755525972
87_ExtraTrees_prediction,0.001301586850803016
61_NearestNeighbors_prediction,0.0016163598380990463
89_DecisionTree_prediction,0.002461419001664944
88_NeuralNetwork_prediction,0.0027780376467433365
43_ExtraTrees_prediction,0.0029829361695900224
5_Linear_prediction,0.005686884778667056
34_RandomForest_prediction,0.006055208611663043
exper,0.006998206569655685
90_DecisionTree_prediction,0.008865826804670518
